title,studio,domestic_gross,foreign_gross,year,total_gross
carancho,Strand,85500,3900000,2011,3985500
like crazy,ParV,3400000,336000,2011,3736000
the double,Imag.,138000,3600000,2011,3738000
don 2,Relbig.,3700000,0,2011,3700000
love crime,IFC,540000,3100000,2011,3640000
incendies (u.s. only),SPC,2100000,1500000,2011,3600000
martha marcy may marlene,FoxS,3000000,548000,2011,3548000
the king's speech (pg-13),Wein.,3300000,0,2011,3300000
machine gun preacher,Rela.,539000,2800000,2011,3339000
the last circus,Magn.,40500,3200000,2011,3240500
from prada to nada,LGF,3000000,123000,2011,3123000
flypaper,IFC,5000,3100000,2011,3105000
zindagi na milegi dobara,Eros,3100000,0,2011,3100000
take shelter,SPC,1700000,1400000,2011,3100000
the greatest miracle,KKM,555000,2500000,2011,3055000
rapt,Lorb.,45800,2900000,2011,2945800
pastorela,LGF,161000,2700000,2011,2861000
the double hour,Gold.,1500000,1200000,2011,2700000
everything must go,RAtt.,2700000,0,2011,2700000
3 (2011),Strand,60000,2600000,2011,2660000
oranges and sunshine,Cohen,143000,2400000,2011,2543000
ong bak 3,Magn.,14900,2300000,2011,2314900
poetry,Kino,356000,1900000,2011,2256000
the tree,Zeit.,71200,2100000,2011,2171200
"the butcher, the chef and the swordsman",CL,47900,2000000,2011,2047900
the trip (2011),IFC,2000000,0,2011,2000000
armadillo,Lorb.,14600,2000000,2011,2014600
bodyguard,Relbig.,1800000,0,2011,1800000
brighton rock,IFC,230000,1600000,2011,1830000
a somewhat gentle man,Strand,37700,1800000,2011,1837700
the topp twins: untouchable girls,Argo.,29300,1800000,2011,1829300
another earth,FoxS,1300000,456000,2011,1756000
a better life,Sum.,1800000,0,2011,1800000
chalet girl,IFC,1700,1700000,2011,1701700
yamla pagla deewana,Eros,993000,600000,2011,1593000
bill cunningham new york,Zeit.,1500000,0,2011,1500000
the art of getting by,FoxS,1400000,0,2011,1400000
the devil's double,LGF,1400000,0,2011,1400000
uncle boonmee who can recall his past lives,Strand,184000,946000,2011,1130000
the whistleblower,Gold.,1100000,0,2011,1100000
red state,SMod,1100000,0,2011,1100000
london river,Libre,7200,1100000,2011,1107200
desi boyz,Eros,1100000,0,2011,1100000
when we leave (die fremde),Olive,19600,1100000,2011,1119600
there be dragons,Gold.,1100000,0,2011,1100000
vanishing on 7th street,Magn.,22700,1000000,2011,1022700
page one: a year inside the new york times,Magn.,1100000,0,2011,1100000
the time that remains,IFC,32900,1000000,2011,1032900
rockstar (2011),Eros,987000,0,2011,987000
meek's cutoff,Osci.,978000,0,2011,978000
texas killing fields,Anch.,45500,912000,2011,957500
ready,Eros,955000,0,2011,955000
miral,Wein.,373000,527000,2011,900000
submarine,Wein.,468000,397000,2011,865000
higher ground,SPC,842000,0,2011,842000
mozart's sister,MBox,708000,132000,2011,840000
plastic planet,FRun,3200,836000,2011,839200
chillar party,UTV,6300,826000,2011,832300
mausam,Eros,728000,0,2011,728000
the first grader,NGE,332000,382000,2011,714000
hobo with a shotgun,Magn.,703000,0,2011,703000
tabloid,IFC,697000,0,2011,697000
dhobi ghat (mumbai diaries),UTV,577000,102000,2011,679000
aarakshan (reservation),Relbig.,651000,0,2011,651000
pom wonderful presents: the greatest movie ever sold,SPC,638000,0,2011,638000
no one killed jessica,UTV,441000,193000,2011,634000
korkoro,Lorb.,8200,619000,2011,627200
blackthorn,Magn.,201000,423000,2011,624000
how i ended this summer,FM,8700,614000,2011,622700
the ledge,IFC,9200,602000,2011,611200
heartbeats,IFC,68700,520000,2011,588700
the future,RAtt.,569000,0,2011,569000
dum maaro dum,FoxS,564000,0,2011,564000
double dhamaal,Relbig.,544000,0,2011,544000
kaboom,IFC,119000,421000,2011,540000
mere brother ki dulhan,Yash,496000,0,2011,496000
weekend (2011),IFC,485000,0,2011,485000
protektor,FM,3000,469000,2011,472000
circumstance,RAtt.,454000,0,2011,454000
the other woman,IFC,25400,427000,2011,452400
project nim,RAtt.,411000,0,2011,411000
rage (rabia),Strand,5600,403000,2011,408600
the human resources manager,FM,64000,329000,2011,393000
hesher,WHE,383000,0,2011,383000
7 khoon maaf,UTV,270000,94700,2011,364700
another happy day,P4,8500,347000,2011,355500
singham,Relbig.,351000,0,2011,351000
the mill and the cross,KC,312000,30300,2011,342300
super,IFC,328000,0,2011,328000
l'amour fou,IFC,312000,0,2011,312000
being elmo: a puppeteer's journey,SD,304000,0,2011,304000
in the land of blood and honey,FD,304000,0,2011,304000
special treatment,FRun,8900,286000,2011,294900
illegal (2011),FM,700,289000,2011,289700
the interrupters,CGld,282000,0,2011,282000
rascals,Eros,274000,0,2011,274000
the black power mix tape: 1967-1975,IFC,274000,0,2011,274000
black death,Magn.,22600,243000,2011,265600
le quattro volte,Lorb.,153000,103000,2011,256000
life in a day,NGE,253000,0,2011,253000
caterpillar,Lorb.,4200,248000,2011,252200
little girl (la pivellina),FRun,1400,236000,2011,237400
el bulli: cooking in progress,AM,237000,0,2011,237000
"if i want to whistle, i whistle",FM,12100,220000,2011,232100
into the abyss,IFC,224000,0,2011,224000
happythankyoumoreplease,Anch.,216000,0,2011,216000
the robber,Kino,83500,125000,2011,208500
henry's crime,MPFT,103000,102000,2011,205000
a good old fashioned orgy,Gold.,200000,0,2011,200000
film socialisme,Lorb.,33000,159000,2011,192000
bol,Eros,189000,0,2011,189000
leap year (2011),Strand,13000,175000,2011,188000
a screaming man,FM,9900,175000,2011,184900
jig,Scre.,184000,0,2011,184000
nostalgia for the light,Icar.,164000,13700,2011,177700
anchor baby,AGF,15800,161000,2011,176800
bellflower,Osci.,168000,0,2011,168000
restless (2011),SPC,163000,0,2011,163000
road to nowhere,Mont.,40300,121000,2011,161300
magic trip,Magn.,155000,0,2011,155000
eames: the architect and the painter,FRun,153000,0,2011,153000
revenge of the electric car,A23,151000,0,2011,151000
the human centipede 2: full sequence,IFC,142000,0,2011,142000
cold weather,IFC,141000,0,2011,141000
game (2011),Eros,140000,0,2011,140000
1911,Vari.,136000,0,2011,136000
"life, above all",SPC,134000,0,2011,134000
tomboy (2011),Da.,130000,0,2011,130000
octubre,NYer,32100,96700,2011,128800
the arbor,Strand,21600,105000,2011,126600
mysteries of lisbon,MBox,111000,14900,2011,125900
vidal sassoon: the movie,P4,86000,38600,2011,124600
trust (2011),MNE,120000,0,2011,120000
steve jobs: the lost interview,Magn.,106000,0,2011,106000
rubber,Magn.,100000,0,2011,100000
the man who fell to earth (35th anniversary re-issue),Rialto,100000,0,2011,100000
chalo dilli,Eros,94300,0,2011,94300
the whale,Pala.,81900,0,2011,81900
beautiful boy,Anch.,77200,0,2011,77200
puncture,MNE,68900,0,2011,68900
a beautiful life,CL,66200,0,2011,66200
"tuesday, after christmas",Lorb.,27800,36200,2011,64000
viva riva!,MBox,61800,0,2011,61800
murder 2,Eros,59500,0,2011,59500
dirty girl,Wein.,55100,0,2011,55100
battleship potemkin (2011 re-issue),Kino,51200,0,2011,51200
love u mr. kalakaar,Eros,48600,0,2011,48600
margaret,FoxS,46500,0,2011,46500
"happy, happy",Magn.,45200,0,2011,45200
the myth of the american sleepover,IFC,41000,0,2011,41000
hell and back again,DF,40600,0,2011,40600
khodorkovsky,KL,39500,0,2011,39500
sleeping beauty (2011) (ii),IFC,36600,0,2011,36600
my kingdom (2011),CL,36500,0,2011,36500
love in space,CL,34800,0,2011,34800
stake land,IFC,33200,0,2011,33200
brotherhood (2011),P4,19700,12700,2011,32400
the son of no one,Anch.,30700,0,2011,30700
muran,UTV,30100,0,2011,30100
the sleeping beauty,Strand,29100,0,2011,29100
tyrannosaur,Strand,22300,0,2011,22300
ceremony,Magn.,22300,0,2011,22300
i'm glad my mother is alive,Strand,8700,13200,2011,21900
always kabhi kabhi,Eros,21400,0,2011,21400
empire of silver,NeoC,0,19000,2011,19000
5 days of war,Anch.,17500,0,2011,17500
aurora,CGld,5700,5100,2011,10800
magic to win,CL,10700,0,2011,10700
wrecked,IFC,8000,0,2011,8000
my piece of the pie,IFC,6900,0,2011,6900
i melt with you,Magn.,6400,0,2011,6400
my joy,KL,6300,0,2011,6300
to die like a man,Strand,4000,900,2011,4900
blood ties,ALP,2800,0,2011,2800
knuckle,Vita.,2600,0,2011,2600
main street,Magn.,2600,0,2011,2600
"love, wedding, marriage",IFC,1900,0,2011,1900
an invisible sign,IFC,1300,0,2011,1300
marvel's the avengers,BV,623400000,895500000,2012,1518900000
skyfall,Sony,304400000,804200000,2012,1108600000
the dark knight rises,WB,448100000,636800000,2012,1084900000
the hobbit: an unexpected journey,WB (NL),303000000,718100000,2012,1021100000
ice age: continental drift,Fox,161300000,715900000,2012,877200000
the twilight saga: breaking dawn part 2,LG/S,292300000,537400000,2012,829700000
the amazing spider-man,Sony,262000000,495900000,2012,757900000
madagascar 3: europe's most wanted,P/DW,216400000,530500000,2012,746900000
the hunger games,LGF,408000000,286400000,2012,694400000
mib 3,Sony,179000000,445000000,2012,624000000
life of pi,Fox,125000000,484000000,2012,609000000
ted,Uni.,218800000,330600000,2012,549400000
brave,BV,237300000,303200000,2012,540500000
wreck-it ralph,BV,189400000,281800000,2012,471200000
les miserables (2012),Uni.,148800000,293000000,2012,441800000
the intouchables (u.s.-only),Wein.,10200000,416400000,2012,426600000
django unchained,Wein.,162800000,262600000,2012,425400000
prometheus,Fox,126500000,276900000,2012,403400000
snow white and the huntsman,Uni.,155300000,241300000,2012,396600000
taken 2,Fox,139900000,236300000,2012,376200000
hotel transylvania,Sony,148300000,210100000,2012,358400000
dr. seuss' the lorax,Uni.,214000000,134800000,2012,348800000
titanic 3d,Par.,57900000,285700000,2012,343600000
journey 2: the mysterious island,WB (NL),103900000,231400000,2012,335300000
the expendables 2,LGF,85000000,229900000,2012,314900000
rise of the guardians,P/DW,103400000,203500000,2012,306900000
wrath of the titans,WB,83700000,221600000,2012,305300000
battleship,Uni.,65400000,237600000,2012,303000000
john carter,BV,73100000,211100000,2012,284200000
the bourne legacy,Uni.,113200000,162900000,2012,276100000
lincoln,BV,182200000,93100000,2012,275300000
dark shadows,WB,79700000,165800000,2012,245500000
resident evil: retribution,SGem,42300000,197700000,2012,240000000
silver linings playbook,Wein.,132100000,104300000,2012,236400000
american reunion,Uni.,57000000,178000000,2012,235000000
argo,WB,136000000,96300000,2012,232300000
jack reacher,Par.,80100000,138300000,2012,218400000
safe house,Uni.,126400000,81700000,2012,208100000
21 jump street,Sony,138400000,63100000,2012,201500000
total recall (2012),Sony,58900000,139600000,2012,198500000
the vow,SGem,125000000,71100000,2012,196100000
mirror mirror,Rela.,64900000,118100000,2012,183000000
the impossible,LG/S,19000000,161300000,2012,180300000
the dictator,Par.,59700000,119700000,2012,179400000
looper,TriS,66500000,110000000,2012,176500000
magic mike,WB,113700000,53500000,2012,167200000
flight,Par.,93800000,68000000,2012,161800000
underworld awakening,SGem,62300000,97800000,2012,160100000
this means war,Fox,54800000,101700000,2012,156500000
the secret world of arrietty,BV,19200000,126400000,2012,145600000
paranormal activity 4,Par.,53900000,88900000,2012,142800000
step up revolution,LG/S,35100000,105400000,2012,140500000
the best exotic marigold hotel,FoxS,46400000,90400000,2012,136800000
zero dark thirty,Sony,95700000,37100000,2012,132800000
ghost rider: spirit of vengeance,Sony,51800000,80800000,2012,132600000
cloud atlas,WB,27100000,103400000,2012,130500000
the woman in black,CBS,54300000,73400000,2012,127700000
chronicle (2012),Fox,64599999,62100000,2012,126699999
the pirates! band of misfits,Sony,31100000,92000000,2012,123100000
parental guidance,Fox,77300000,42500000,2012,119800000
abraham lincoln: vampire hunter,Fox,37500000,79000000,2012,116500000
pitch perfect,Uni.,65000000,50300000,2012,115300000
hope springs,Sony,63500000,50700000,2012,114200000
paranorman,Focus,56000000,51100000,2012,107100000
the campaign,WB,86900000,18000000,2012,104900000
let the bullets fly,Vari.,63000,104300000,2012,104363000
star wars: episode i - the phantom menace (in 3d),Fox,43500000,59300000,2012,102800000
project x,WB,54700000,48000000,2012,102700000
the devil inside,Par.,53300000,48500000,2012,101800000
the lucky one,WB,60500000,38900000,2012,99400000
contraband,Uni.,66500000,29700000,2012,96200000
think like a man,SGem,91500000,4500000,2012,96000000
this is 40,Uni.,67500000,20500000,2012,88000000
the inbetweeners movie,WHE,36000,88000000,2012,88036000
the possession,LGF,49100000,36300000,2012,85400000
what to expect when you're expecting,LGF,41200000,43200000,2012,84400000
the thieves,WGUSA,686000,82800000,2012,83486000
savages (2012),Uni.,47400000,35600000,2012,83000000
frankenweenie,BV,35300000,46200000,2012,81500000
act of valor,Rela.,70000000,11300000,2012,81300000
masquerade (2012),CJ,923000,79800000,2012,80723000
sinister,LG/S,48100000,29600000,2012,77700000
the grey,ORF,51600000,25700000,2012,77300000
diary of a wimpy kid: dog days,Fox,49000000,28100000,2012,77100000
to rome with love,SPC,16700000,56600000,2012,73300000
here comes the boom,Sony,45300000,27800000,2012,73100000
finding nemo (3d),BV,41100000,28200000,2012,69300000
anna karenina,Focus,12800000,56100000,2012,68900000
the watch,Fox,35400000,32900000,2012,68300000
moonrise kingdom,Focus,45500000,22800000,2012,68300000
tyler perry's madea's witness protection,LGF,65700000,1200000,2012,66900000
the cabin in the woods,LGF,42100000,24400000,2012,66500000
beauty and the beast (3d),BV,47600000,14400000,2012,62000000
rock of ages,WB (NL),38500000,20900000,2012,59400000
that's my boy,Sony,36900000,20800000,2012,57700000
the odd life of timothy green,BV,51900000,4200000,2012,56100000
the three stooges,Fox,44300000,10500000,2012,54800000
the five-year engagement,Uni.,28800000,25100000,2012,53900000
lawless,Wein.,37400000,16300000,2012,53700000
silent hill: revelation 3d,ORF,17500000,34800000,2012,52300000
red tails,Fox,49900000,489000,2012,50389000
"monsters, inc. (3d)",BV,34000000,16200000,2012,50200000
trouble with the curve,WB,35800000,13200000,2012,49000000
little white lies,MPI,206000,48300000,2012,48506000
end of watch,ORF,41000000,7100000,2012,48100000
man on a ledge,LG/S,18600000,27600000,2012,46200000
red dawn (2012),FD,44800000,0,2012,44800000
house at the end of the street,Rela.,31600000,12700000,2012,44300000
the guilt trip,Par.,37100000,4700000,2012,41800000
a werewolf boy,CJ,343000,41300000,2012,41643000
safe (2012),LGF,17100000,23200000,2012,40300000
killing them softly,Wein.,15000000,22900000,2012,37900000
chernobyl diaries,WB,18100000,19000000,2012,37100000
one for the money,LGF,26400000,10500000,2012,36900000
dredd,LGF,13400000,22200000,2012,35600000
tyler perry's good deeds,LGF,35000000,553000,2012,35553000
arbitrage,RAtt.,7900000,27600000,2012,35500000
chimpanzee,BV,29000000,5900000,2012,34900000
alex cross,LG/S,25900000,8700000,2012,34600000
salmon fishing in the yemen,CBS,9000000,25500000,2012,34500000
fetih 1453: the conquest of constantinople,NeoC,35700,34400000,2012,34435700
cirque du soleil: worlds away,Par.,12500000,21600000,2012,34100000
the perks of being a wallflower,LG/S,17700000,15600000,2012,33300000
haywire,Rela.,18900000,14400000,2012,33300000
katy perry: part of me,Par.,25300000,7400000,2012,32700000
lockout,FD,14300000,17900000,2012,32200000
joyful noise,WB,30900000,226000,2012,31126000
premium rush,Sony,20300000,10800000,2012,31100000
the raven,Rela.,16000000,13600000,2012,29600000
rowdy rathore,UTV,777000,28600000,2012,29377000
dragon (2012),RTWC,11100,29100000,2012,29111100
bol bachchan,FIP,1200000,27600000,2012,28800000
the master,Wein.,16399999,11900000,2012,28299999
rust and bone,SPC,2100000,23700000,2012,25800000
big miracle,Uni.,20200000,4600000,2012,24800000
sparkle (2012),TriS,24400000,240000,2012,24640000
to the arctic (imax),WB,14600000,9100000,2012,23700000
hitchcock,FoxS,6000000,17600000,2012,23600000
a thousand words,P/DW,18500000,3600000,2012,22100000
wanderlust,Uni.,17500000,4200000,2012,21700000
beasts of the southern wild,FoxS,12800000,8300000,2012,21100000
polisse,IFC,211000,20200000,2012,20411000
amour,SPC,6700000,13100000,2012,19800000
the man with the iron fists,Uni.,15600000,4099999,2012,19699999
solomon kane,RTWC,0,19600000,2012,19600000
seven psychopaths,CBS,15000000,4400000,2012,19400000
gone,LG/S,11700000,6400000,2012,18100000
norwegian wood,RF,13000,17600000,2012,17613000
the cold light of day,LG/S,3800000,13100000,2012,16900000
my way (2012),CJ,70200,16500000,2012,16570200
tomorrow when the war began,Free,4900,16500000,2012,16504900
we have a pope,IFC,548000,15600000,2012,16148000
headhunters,Magn.,1200000,14500000,2012,15700000
hit and run,ORF,13700000,704000,2012,14404000
war of the buttons (2012),Wein.,47800,13800000,2012,13847800
red lights (2012),MNE,52600,13500000,2012,13552600
the words,CBS,11500000,1700000,2012,13200000
playing for keeps,FD,13100000,0,2012,13100000
silent house,ORF,12800000,347000,2012,13147000
friends with kids,RAtt.,7300000,5800000,2012,13100000
the well-digger's daughter,KL,386000,12200000,2012,12586000
klown,Drft.,68800,12400000,2012,12468800
people like us,BV,12400000,0,2012,12400000
seeking justice,Anch.,412000,11900000,2012,12312000
bachelorette,RTWC,448000,11500000,2012,11948000
this must be the place,Wein.,144000,11600000,2012,11744000
fun size,Par.,9400000,2000000,2012,11400000
rec 3: genesis,Magn.,9600,10100000,2012,10109600
delicacy,Cohen,499000,9200000,2012,9699000
seeking a friend for the end of the world,Focus,7100000,2600000,2012,9700000
the apparition,WB,4900000,4700000,2012,9600000
for greater glory,ArcEnt,5700000,4000000,2012,9700000
hysteria,SPC,1800000,7700000,2012,9500000
bernie,MNE,9200000,0,2012,9200000
the sessions,FoxS,6000000,3100000,2012,9100000
ruby sparks,FoxS,2500000,6600000,2012,9100000
hyde park on hudson,Focus,6400000,2500000,2012,8900000
on the road,IFC,744000,8000000,2012,8744000
boy (2012),PalUni,256000,8400000,2012,8656000
piranha 3dd,W/Dim.,377000,8100000,2012,8477000
easy money (2012),Wein.,206000,8199999,2012,8405999
space dogs 3d,EpicPics,14400,8300000,2012,8314400
bel ami,Magn.,120000,8199999,2012,8319999
promised land (2012),Focus,7600000,541000,2012,8141000
iron sky,EOne,122000,8000000,2012,8122000
casa de mi padre,LGF,5900000,2100000,2012,8000000
heroine,UTV,599000,7400000,2012,7999000
a royal affair,Magn.,1500000,6000000,2012,7500000
all together,KL,43200,7200000,2012,7243200
my worst nightmare,Strand,22000,7100000,2012,7122000
the collection,LD,6800000,0,2012,6800000
monsieur lazhar (u.s.-only),MBox,2000000,4600000,2012,6600000
goon,Magn.,4200000,2300000,2012,6500000
cosmopolis,EOne,764000,5300000,2012,6064000
chasing mavericks,Fox,6000000,600,2012,6000600
declaration of war,IFC,59100,5800000,2012,5859100
puella magi madoka magica the movie,Elev.,180000,5600000,2012,5780000
albert nobbs,RAtt.,3000000,2600000,2012,5600000
in darkness,SPC,1000000,4500000,2012,5500000
won't back down,Fox,5300000,0,2012,5300000
farewell my queen,Cohen,1600000,3700000,2012,5300000
the tall man,Imag.,0,5200000,2012,5200000
girl in progress,LGF,2600000,2000000,2012,4600000
"jeff, who lives at home",ParV,4300000,148000,2012,4448000
barbara,AF,1000000,3100000,2012,4100000
the raid: redemption,SPC,4099999,0,2012,4099999
safety not guaranteed,FD,4000000,0,2012,4000000
nitro circus the movie 3d,ArcEnt,3400000,526000,2012,3926000
"lula, son of brazil",NYer,0,3800000,2012,3800000
the lady,Cohen,355000,3400000,2012,3755000
branded,RAtt.,354000,3400000,2012,3754000
the rabbi's cat,GK,23400,3700000,2012,3723400
searching for sugar man,SPC,3700000,0,2012,3700000
killer joe,LD,2000000,1700000,2012,3700000
hara-kiri: death of a samurai,Trib.,75700,3400000,2012,3475700
robot & frank,Gold.,3300000,0,2012,3300000
raiders of the lost ark (imax),Par.,3100000,0,2012,3100000
celeste and jesse forever,SPC,3100000,0,2012,3100000
jab tak hai jaan,Yash,3000000,0,2012,3000000
intruders,MNE,69100,2900000,2012,2969100
talaash,Relbig.,2900000,0,2012,2900000
barfi!,UTV,2800000,0,2012,2800000
a simple life,CL,192000,2600000,2012,2792000
samsara,Osci.,2700000,0,2012,2700000
simon and the oaks,TFA,151000,2400000,2012,2551000
jiro dreams of sushi,Magn.,2600000,0,2012,2600000
dabangg 2,Eros,2500000,0,2012,2500000
kid with a bike,IFC,1500000,1000000,2012,2500000
the queen of versailles,Magn.,2400000,0,2012,2400000
ek tha tiger,Yash,2300000,0,2012,2300000
chico & rita,GK,351000,1900000,2012,2251000
stolen (2012),MNE,304000,1800000,2012,2104000
footnote,SPC,2000000,0,2012,2000000
the imposter,IM,898000,1100000,2012,1998000
agneepath,Eros,2000000,0,2012,2000000
the day i saw your heart,FM,3500,2000000,2012,2003500
english vinglish,Eros,1900000,0,2012,1900000
housefull 2,Eros,1800000,0,2012,1800000
the cup (2012),Myr.,0,1800000,2012,1800000
tales of the night,GK,11000,1700000,2012,1711000
beloved (2012),IFC,138000,1500000,2012,1638000
360,Magn.,100000,1600000,2012,1700000
2 days in new york,Magn.,633000,1000000,2012,1633000
your sister's sister,IFC,1600000,0,2012,1600000
hermano,MBox,29900,1600000,2012,1629900
lay the favorite,RTWC,21000,1600000,2012,1621000
soldiers of fortune,RAtt.,38900,1500000,2012,1538900
a late quartet,EOne,1600000,0,2012,1600000
i wish,Magn.,146000,1400000,2012,1546000
the salt of life,Zeit.,317000,1200000,2012,1517000
chicken with plums,SPC,254000,1200000,2012,1454000
marley,Magn.,1400000,0,2012,1400000
the paperboy,MNE,693000,661000,2012,1354000
chasing ice,SD,1300000,0,2012,1300000
unforgivable,Strand,154000,1200000,2012,1354000
a little bit of heaven,MNE,15400,1300000,2012,1315400
the other son,Cohen,1300000,0,2012,1300000
meerkats,NGE,778000,482000,2012,1260000
"for a good time, call...",Focus,1300000,0,2012,1300000
take this waltz,Magn.,1200000,0,2012,1200000
cocktail (2012),Eros,1200000,0,2012,1200000
once upon a time in anatolia,CGld,152000,1000000,2012,1152000
ek main aur ekk tu,UTV,1200000,0,2012,1200000
the deep blue sea,MBox,1100000,0,2012,1100000
coriolanus,Wein.,757000,315000,2012,1072000
diana vreeland: the eye has to travel,Gold.,1000000,0,2012,1000000
first position,IFC,1000000,0,2012,1000000
damsels in distress,SPC,1000000,0,2012,1000000
rampart,MNE,973000,0,2012,973000
elles,KL,158000,754000,2012,912000
w.e.,Wein.,583000,285000,2012,868000
breathing,KL,4600,803000,2012,807600
darling companion,SPC,794000,0,2012,794000
teri meri kahaani,Eros,781000,0,2012,781000
son of sardaar,Eros,772000,0,2012,772000
agent vinod,Eros,698000,0,2012,698000
student of the year,Eros,670000,0,2012,670000
the polar express (2012 re-issue),WB,669000,0,2012,669000
holy motors,IM,641000,0,2012,641000
free men,FM,53800,564000,2012,617800
"peace, love and misunderstanding",IFC,591000,0,2012,591000
undefeated (2012),Wein.,562000,0,2012,562000
sister (2012),AF,155000,400000,2012,555000
vicky donor,Eros,549000,0,2012,549000
being flynn,Focus,540000,0,2012,540000
ai weiwei: never sorry,IFC,534000,0,2012,534000
where do we go now?,SPC,532000,0,2012,532000
bully (2012),Wein.,279000,182000,2012,461000
ferrari ki sawaari,Eros,434000,0,2012,434000
dark tide,WHE,0,432000,2012,432000
apartment 143,Magn.,400,426000,2012,426400
sound of my voice,FoxS,408000,0,2012,408000
khiladi 786,Eros,379000,0,2012,379000
smashed,SPC,377000,0,2012,377000
universal soldier: day of reckoning,Magn.,5500,364000,2012,369500
the oranges,ATO,366000,0,2012,366000
liberal arts,IFC,327000,0,2012,327000
compliance,Magn.,319000,0,2012,319000
back to 1942,CL,313000,0,2012,313000
the flowers of war,WHE,311000,0,2012,311000
something from nothing: the art of rap,IM,288000,0,2012,288000
love in the buff,CL,256000,0,2012,256000
lola versus,FoxS,253000,0,2012,253000
keep the lights on,MBox,246000,0,2012,246000
gerhard richter painting,KL,243000,0,2012,243000
trishna,IFC,240000,0,2012,240000
elena,Zeit.,233000,0,2012,233000
tezz,Eros,230000,0,2012,230000
the viral factor,CL,220000,0,2012,220000
neil young journeys,SPC,215000,0,2012,215000
tai chi zero,Vari.,212000,0,2012,212000
the house i live in,Abr.,211000,0,2012,211000
10 years,Anch.,203000,0,2012,203000
17 girls,Strand,15100,186000,2012,201100
tim & eric's billion dollar movie,Magn.,201000,0,2012,201000
any day now,MBox,201000,0,2012,201000
tere naal love ho gaya,UTV,178000,0,2012,178000
the hunter (2012),Magn.,177000,0,2012,177000
butter,RTWC,105000,70700,2012,175700
kill list,IFC,29100,143000,2012,172100
flying swords of dragon gate,IM,170000,0,2012,170000
joker,UTV,169000,0,2012,169000
dark horse,BM&DH,166000,0,2012,166000
shirin farhad ki toh nikal padi,Eros,156000,0,2012,156000
bullhead,Drft.,152000,0,2012,152000
chakravyuh,Eros,152000,0,2012,152000
luv shuv tey chicken khurana,UTV,144000,0,2012,144000
high school,Anch.,139000,0,2012,139000
warriors of the rainbow: seediq bale,WGUSA,136000,0,2012,136000
the loneliest planet,IFC,130000,0,2012,130000
forgiveness of blood,IFC,127000,0,2012,127000
toys in the attic,Hann.,64900,61600,2012,126500
"turn me on, dammit!",NYer,126000,0,2012,126000
god bless america,Magn.,123000,0,2012,123000
bullet vanishes,CL,118000,0,2012,118000
the woman in the fifth,ATO,114000,0,2012,114000
5 broken cameras,KL,110000,0,2012,110000
hello i must be going,Osci.,107000,0,2012,107000
the magic of belle isle,Magn.,102000,0,2012,102000
"oslo, august 31st",Strand,101000,0,2012,101000
wuthering heights (2012),Osci.,101000,0,2012,101000
mugamoodi,UTV,101000,0,2012,101000
v/h/s,Magn.,100000,0,2012,100000
goodbye first love,IFC,95000,0,2012,95000
marina abramovic: the artist is present,MBox,86600,0,2012,86600
the eye of the storm,SEG,83600,0,2012,83600
wagner & me,FRun,37700,41000,2012,78700
the innkeepers,Magn.,78400,0,2012,78400
this is not a film,PalT,77000,0,2012,77000
the island president,Gold.,76400,0,2012,76400
detachment,Trib.,72700,0,2012,72700
the green wave,RF,0,70100,2012,70100
attenberg,Strand,24000,45900,2012,69900
deadfall (2012),Magn.,66400,0,2012,66400
girlfriend boyfriend - gf bf,CL,64400,0,2012,64400
vulgaria,CL,59100,0,2012,59100
the turin horse,CGld,56400,0,2012,56400
jodi breakers,Yash,52600,0,2012,52600
painted skin: the resurrection,WGUSA,50400,0,2012,50400
"all's well, end's well (2012)",CL,47900,0,2012,47900
north sea texas,Strand,28300,16700,2012,45000
double trouble,CL,44800,0,2012,44800
the fairy,KL,38400,0,2012,38400
hit so hard,Vari.,34000,0,2012,34000
kalakalappu@masala cafe,UTV,30900,0,2012,30900
the bay,RAtt.,30700,0,2012,30700
you've been trumped,ICir,29300,0,2012,29300
here (2012),Strand,26700,0,2012,26700
in another country,KL,25100,0,2012,25100
the first time,Gold.,22800,0,2012,22800
bonsai,Strand,21300,0,2012,21300
the day,Anch.,21000,0,2012,21000
28 hotel rooms,Osci.,18900,0,2012,18900
lovely molly,Imag.,18500,0,2012,18500
juan of the dead,Outs,18000,0,2012,18000
4:44: last day on earth,IFC,17800,0,2012,17800
little birds,MNE,17700,0,2012,17700
return (2012),Da.,16100,0,2012,16100
alps,KL,16100,0,2012,16100
patience (after sebald),CGld,15900,0,2012,15900
take me home,Mont.,15800,0,2012,15800
reuniting the rubins,Mont.,13600,0,2012,13600
cirkus columbia,Strand,3500,9500,2012,13000
grassroots,Gold.,12400,0,2012,12400
husbands in goa,UTV,10100,0,2012,10100
starry starry night,CL,10000,0,2012,10000
corpo celeste,FM,8900,0,2012,8900
dreams of a life,Strand,8400,0,2012,8400
the babymakers,MNE,7900,0,2012,7900
las acacias,OutF,6000,0,2012,6000
the good doctor,Magn.,5200,0,2012,5200
liar's autobiography,BSM,5100,0,2012,5100
sleepless night,Trib.,3400,0,2012,3400
atm,IFC,3000,0,2012,3000
about cherry,IFC,3000,0,2012,3000
perfect sense,IFC,3000,0,2012,3000
cheerful weather for the wedding,IFC,2700,0,2012,2700
the decoy bride,IFC,800,0,2012,800
death of a superhero,Trib.,600,0,2012,600
